signal_id,role,bar_utc,open,high,low,close,spread,bar_utc_chart_label
168,before_spike,2026-08-14 10:15:00+00:00,4331.25,4336.48,4329.71,4331.99,8.0,2026.08.14 13:15:00
168,spike,2026-08-14 10:30:00+00:00,4332.01,4340.17,4331.79,4339.72,8.0,2026.08.14 13:30:00
168,after_spike,2026-08-14 10:45:00+00:00,4339.73,4345.24,4339.52,4343.73,8.0,2026.08.14 13:45:00
168,signal,2026-08-14 11:00:00+00:00,4343.72,4348.02,4341.77,4347.48,8.0,2026.08.14 14:00:00
169,context,2026-08-17 11:00:00+00:00,4405.31,4405.31,4397.68,4402.77,8.0,2026.08.17 14:00:00
169,before_spike,2026-08-17 11:15:00+00:00,4402.78,4403.81,4400.49,4401.83,8.0,2026.08.17 14:15:00
169,spike,2026-08-17 11:30:00+00:00,4401.88,4402.19,4396.02,4396.32,8.0,2026.08.17 14:30:00
169,after_spike,2026-08-17 11:45:00+00:00,4396.31,4396.94,4392.57,4395.08,8.0,2026.08.17 14:45:00
169,signal,2026-08-17 12:00:00+00:00,4395.06,4400.64,4393.37,4399.15,8.0,2026.08.17 15:00:00
170,context,2026-08-18 01:45:00+00:00,4414.59,4416.25,4410.54,4411.86,13.0,2026.08.18 04:45:00
170,before_spike,2026-08-18 02:00:00+00:00,4411.81,4414.9,4409.72,4414.73,13.0,2026.08.18 05:00:00
170,spike,2026-08-18 02:15:00+00:00,4414.77,4421.84,4414.77,4420.31,13.0,2026.08.18 05:15:00
170,after_spike,2026-08-18 02:30:00+00:00,4420.31,4422.8,4420.0,4422.65,13.0,2026.08.18 05:30:00
170,signal,2026-08-18 02:45:00+00:00,4422.62,4426.09,4421.6,4425.94,11.0,2026.08.18 05:45:00
171,context,2026-08-18 04:00:00+00:00,4434.63,4436.09,4428.65,4429.34,16.0,2026.08.18 07:00:00
171,before_spike,2026-08-18 04:15:00+00:00,4429.3,4430.81,4420.29,4425.03,15.0,2026.08.18 07:15:00
171,spike,2026-08-18 04:30:00+00:00,4424.99,4426.18,4412.28,4412.28,15.0,2026.08.18 07:30:00
171,after_spike,2026-08-18 04:45:00+00:00,4412.1,4412.23,4404.25,4408.07,14.0,2026.08.18 07:45:00
171,signal,2026-08-18 05:00:00+00:00,4408.13,4408.17,4398.56,4401.03,12.0,2026.08.18 08:00:00
172,context,2026-08-18 18:15:00+00:00,4360.07,4365.37,4351.71,4354.23,8.0,2026.08.18 21:15:00
172,before_spike,2026-08-18 18:30:00+00:00,4354.3,4361.93,4353.87,4357.73,8.0,2026.08.18 21:30:00
172,spike,2026-08-18 18:45:00+00:00,4357.87,4365.83,4357.87,4364.14,8.0,2026.08.18 21:45:00
172,after_spike,2026-08-18 19:00:00+00:00,4364.05,4370.85,4364.05,4367.01,9.0,2026.08.18 22:00:00
172,signal,2026-08-18 19:15:00+00:00,4367.0,4368.88,4363.56,4364.26,9.0,2026.08.18 22:15:00
173,context,2026-08-18 20:00:00+00:00,4363.21,4366.41,4362.87,4366.23,8.0,2026.08.18 23:00:00
173,before_spike,2026-08-18 20:15:00+00:00,4366.24,4367.54,4362.45,4364.73,8.0,2026.08.18 23:15:00
173,spike,2026-08-18 20:30:00+00:00,4364.7,4365.4,4357.96,4358.0,8.0,2026.08.18 23:30:00
173,after_spike,2026-08-18 20:45:00+00:00,4357.94,4359.78,4356.3,4357.73,8.0,2026.08.18 23:45:00
173,signal,2026-08-18 21:00:00+00:00,4357.93,4357.93,4352.16,4357.05,8.0,2026.08.19 00:00:00
174,context,2026-08-19 15:00:00+00:00,4364.67,4370.67,4362.14,4368.39,8.0,2026.08.19 18:00:00
174,before_spike,2026-08-19 15:15:00+00:00,4368.37,4372.99,4366.02,4368.67,8.0,2026.08.19 18:15:00
174,spike,2026-08-19 15:30:00+00:00,4368.79,4420.79,4367.95,4417.17,8.0,2026.08.19 18:30:00
174,after_spike,2026-08-19 15:45:00+00:00,4417.7,4442.21,4411.0,4438.82,11.0,2026.08.19 18:45:00
174,signal,2026-08-19 16:00:00+00:00,4438.85,4460.82,4424.59,4456.3,8.0,2026.08.19 19:00:00
175,context,2026-08-19 21:30:00+00:00,4475.39,4492.17,4472.16,4490.99,8.0,2026.08.20 00:30:00
175,before_spike,2026-08-19 21:45:00+00:00,4490.97,4496.99,4490.04,4495.08,8.0,2026.08.20 00:45:00
175,spike,2026-08-19 22:00:00+00:00,4495.16,4505.77,4494.47,4503.3,8.0,2026.08.20 01:00:00
175,after_spike,2026-08-19 22:15:00+00:00,4503.32,4507.69,4502.66,4507.31,8.0,2026.08.20 01:15:00
175,signal,2026-08-19 22:30:00+00:00,4507.47,4510.68,4502.9,4507.08,8.0,2026.08.20 01:30:00
176,context,2026-08-20 06:45:00+00:00,4497.96,4500.9,4496.93,4498.78,13.0,2026.08.20 09:45:00
176,before_spike,2026-08-20 07:00:00+00:00,4498.82,4499.22,4494.88,4496.49,11.0,2026.08.20 10:00:00
176,spike,2026-08-20 07:15:00+00:00,4496.46,4497.21,4489.97,4490.25,11.0,2026.08.20 10:15:00
176,after_spike,2026-08-20 07:30:00+00:00,4490.31,4490.9,4486.38,4487.2,11.0,2026.08.20 10:30:00
176,signal,2026-08-20 07:45:00+00:00,4487.19,4491.52,4487.03,4488.55,11.0,2026.08.20 10:45:00
177,context,2026-08-20 08:30:00+00:00,4483.11,4486.06,4478.06,4480.68,17.0,2026.08.20 11:30:00
177,before_spike,2026-08-20 08:45:00+00:00,4480.69,4483.22,4477.96,4481.23,13.0,2026.08.20 11:45:00
177,spike,2026-08-20 09:00:00+00:00,4481.3,4493.42,4480.07,4492.94,10.0,2026.08.20 12:00:00
177,after_spike,2026-08-20 09:15:00+00:00,4492.9,4495.96,4491.94,4494.16,8.0,2026.08.20 12:15:00
177,signal,2026-08-20 09:30:00+00:00,4494.14,4495.31,4491.83,4492.48,9.0,2026.08.20 12:30:00
178,context,2026-08-21 10:45:00+00:00,4564.39,4568.01,4560.9,4564.25,8.0,2026.08.21 13:45:00
178,before_spike,2026-08-21 11:00:00+00:00,4564.24,4567.98,4559.23,4565.64,8.0,2026.08.21 14:00:00
178,spike,2026-08-21 11:15:00+00:00,4565.41,4581.84,4563.95,4579.37,8.0,2026.08.21 14:15:00
178,after_spike,2026-08-21 11:30:00+00:00,4579.39,4584.18,4576.49,4582.44,8.0,2026.08.21 14:30:00
178,signal,2026-08-21 11:45:00+00:00,4582.61,4584.97,4580.44,4583.99,8.0,2026.08.21 14:45:00
179,context,2026-08-21 20:30:00+00:00,4622.81,4625.11,4619.39,4619.64,8.0,2026.08.21 23:30:00
179,before_spike,2026-08-21 20:45:00+00:00,4619.7,4622.49,4616.97,4620.01,8.0,2026.08.21 23:45:00
179,spike,2026-08-21 21:00:00+00:00,4620.13,4627.49,4619.82,4623.73,8.0,2026.08.22 00:00:00
179,after_spike,2026-08-21 21:15:00+00:00,4623.75,4626.82,4623.67,4624.34,9.0,2026.08.22 00:15:00
179,signal,2026-08-21 21:30:00+00:00,4624.15,4624.33,4618.78,4620.42,8.0,2026.08.22 00:30:00
180,context,2026-08-24 03:15:00+00:00,4637.37,4640.44,4594.76,4604.69,17.0,2026.08.24 06:15:00
180,before_spike,2026-08-24 03:30:00+00:00,4604.68,4608.55,4601.03,4607.06,11.0,2026.08.24 06:30:00
180,spike,2026-08-24 03:45:00+00:00,4607.07,4623.16,4603.92,4621.84,15.0,2026.08.24 06:45:00
180,after_spike,2026-08-24 04:00:00+00:00,4621.85,4635.16,4618.91,4622.12,14.0,2026.08.24 07:00:00
180,signal,2026-08-24 04:15:00+00:00,4622.13,4625.67,4611.18,4614.67,15.0,2026.08.24 07:15:00
181,context,2026-08-24 12:15:00+00:00,4641.92,4642.02,4634.95,4635.87,8.0,2026.08.24 15:15:00
181,before_spike,2026-08-24 12:30:00+00:00,4635.88,4640.65,4633.02,4639.33,8.0,2026.08.24 15:30:00
181,spike,2026-08-24 12:45:00+00:00,4639.24,4646.04,4638.95,4645.97,8.0,2026.08.24 15:45:00
181,after_spike,2026-08-24 13:00:00+00:00,4645.95,4650.06,4645.5,4648.11,9.0,2026.08.24 16:00:00
181,signal,2026-08-24 13:15:00+00:00,4648.14,4648.59,4642.43,4643.11,8.0,2026.08.24 16:15:00
182,context,2026-08-24 22:00:00+00:00,4636.58,4641.45,4635.85,4636.71,8.0,2026.08.25 01:00:00
182,before_spike,2026-08-24 22:15:00+00:00,4636.69,4645.31,4636.34,4641.5,8.0,2026.08.25 01:15:00
182,spike,2026-08-24 22:30:00+00:00,4641.43,4651.49,4640.22,4650.76,8.0,2026.08.25 01:30:00
182,after_spike,2026-08-24 22:45:00+00:00,4650.77,4656.63,4650.61,4652.33,8.0,2026.08.25 01:45:00
182,signal,2026-08-24 23:00:00+00:00,4652.51,4656.01,4651.07,4651.36,8.0,2026.08.25 02:00:00
183,context,2026-08-25 18:30:00+00:00,4639.84,4659.43,4639.83,4656.22,9.0,2026.08.25 21:30:00
183,before_spike,2026-08-25 18:45:00+00:00,4656.2,4657.24,4648.95,4652.65,8.0,2026.08.25 21:45:00
183,spike,2026-08-25 19:00:00+00:00,4652.65,4653.31,4642.8,4644.77,8.0,2026.08.25 22:00:00
183,after_spike,2026-08-25 19:15:00+00:00,4644.76,4647.24,4637.97,4640.72,8.0,2026.08.25 22:15:00
183,signal,2026-08-25 19:30:00+00:00,4640.73,4645.76,4637.44,4644.55,8.0,2026.08.25 22:30:00
184,context,2026-08-26 04:15:00+00:00,4644.9,4651.13,4644.2,4644.34,16.0,2026.08.26 07:15:00
184,before_spike,2026-08-26 04:30:00+00:00,4644.33,4647.88,4639.88,4645.51,15.0,2026.08.26 07:30:00
184,spike,2026-08-26 04:45:00+00:00,4645.52,4661.67,4643.88,4657.83,11.0,2026.08.26 07:45:00
184,after_spike,2026-08-26 05:00:00+00:00,4657.84,4662.53,4655.76,4660.95,11.0,2026.08.26 08:00:00
184,signal,2026-08-26 05:15:00+00:00,4660.97,4662.5,4657.0,4659.79,11.0,2026.08.26 08:15:00
185,context,2026-08-27 04:15:00+00:00,4624.92,4625.3,4617.17,4618.91,16.0,2026.08.27 07:15:00
185,before_spike,2026-08-27 04:30:00+00:00,4618.9,4631.66,4618.13,4624.11,17.0,2026.08.27 07:30:00
185,spike,2026-08-27 04:45:00+00:00,4624.17,4640.99,4623.95,4640.27,11.0,2026.08.27 07:45:00
185,after_spike,2026-08-27 05:00:00+00:00,4640.29,4643.27,4638.36,4640.85,11.0,2026.08.27 08:00:00
185,signal,2026-08-27 05:15:00+00:00,4640.79,4640.86,4632.95,4633.43,14.0,2026.08.27 08:15:00
186,context,2026-08-27 05:30:00+00:00,4633.37,4634.04,4623.83,4627.53,14.0,2026.08.27 08:30:00
186,before_spike,2026-08-27 05:45:00+00:00,4627.48,4631.57,4624.57,4629.88,11.0,2026.08.27 08:45:00
186,spike,2026-08-27 06:00:00+00:00,4629.83,4635.35,4628.59,4634.45,11.0,2026.08.27 09:00:00
186,after_spike,2026-08-27 06:15:00+00:00,4634.5,4638.84,4633.22,4635.31,11.0,2026.08.27 09:15:00
186,signal,2026-08-27 06:30:00+00:00,4635.35,4635.59,4628.81,4629.29,12.0,2026.08.27 09:30:00
187,context,2026-08-27 06:45:00+00:00,4629.31,4629.61,4624.4,4625.45,14.0,2026.08.27 09:45:00
187,before_spike,2026-08-27 07:00:00+00:00,4625.52,4627.26,4624.42,4625.37,11.0,2026.08.27 10:00:00
187,spike,2026-08-27 07:15:00+00:00,4625.39,4626.98,4620.55,4620.77,11.0,2026.08.27 10:15:00
187,after_spike,2026-08-27 07:30:00+00:00,4620.76,4620.84,4617.26,4619.28,11.0,2026.08.27 10:30:00
187,signal,2026-08-27 07:45:00+00:00,4619.17,4620.63,4617.7,4618.76,11.0,2026.08.27 10:45:00
188,context,2026-08-28 08:30:00+00:00,4584.07,4584.07,4571.68,4572.74,17.0,2026.08.28 11:30:00
188,before_spike,2026-08-28 08:45:00+00:00,4572.76,4577.37,4571.74,4573.29,16.0,2026.08.28 11:45:00
188,spike,2026-08-28 09:00:00+00:00,4573.3,4583.52,4572.43,4581.89,12.0,2026.08.28 12:00:00
188,after_spike,2026-08-28 09:15:00+00:00,4581.87,4585.56,4580.75,4584.97,13.0,2026.08.28 12:15:00
188,signal,2026-08-28 09:30:00+00:00,4584.99,4588.49,4582.91,4588.32,13.0,2026.08.28 12:30:00
189,context,2026-08-28 11:00:00+00:00,4611.84,4614.63,4610.0,4611.76,12.0,2026.08.28 14:00:00
189,before_spike,2026-08-28 11:15:00+00:00,4611.77,4612.39,4608.16,4609.07,11.0,2026.08.28 14:15:00
189,spike,2026-08-28 11:30:00+00:00,4609.06,4611.49,4603.4,4603.69,9.0,2026.08.28 14:30:00
189,after_spike,2026-08-28 11:45:00+00:00,4603.67,4606.2,4601.18,4602.91,8.0,2026.08.28 14:45:00
189,signal,2026-08-28 12:00:00+00:00,4602.9,4604.31,4600.79,4601.7,8.0,2026.08.28 15:00:00
190,context,2026-08-28 18:30:00+00:00,4566.73,4567.54,4533.61,4538.06,8.0,2026.08.28 21:30:00
190,before_spike,2026-08-28 18:45:00+00:00,4538.5,4545.44,4524.52,4524.75,8.0,2026.08.28 21:45:00
190,spike,2026-08-28 19:00:00+00:00,4524.85,4529.19,4497.49,4498.09,8.0,2026.08.28 22:00:00
190,after_spike,2026-08-28 19:15:00+00:00,4498.06,4503.57,4464.5,4480.31,8.0,2026.08.28 22:15:00
190,signal,2026-08-28 19:30:00+00:00,4480.25,4487.35,4466.34,4468.76,8.0,2026.08.28 22:30:00
191,context,2026-09-01 01:30:00+00:00,4449.89,4451.25,4447.35,4447.95,15.0,2026.09.01 04:30:00
191,before_spike,2026-09-01 01:45:00+00:00,4447.94,4448.29,4445.67,4447.0,14.0,2026.09.01 04:45:00
191,spike,2026-09-01 02:00:00+00:00,4447.02,4447.24,4443.93,4444.17,11.0,2026.09.01 05:00:00
191,after_spike,2026-09-01 02:15:00+00:00,4444.18,4444.37,4441.87,4443.33,11.0,2026.09.01 05:15:00
191,signal,2026-09-01 02:30:00+00:00,4443.36,4447.91,4443.22,4445.77,11.0,2026.09.01 05:30:00
192,context,2026-09-01 06:30:00+00:00,4434.04,4438.81,4433.42,4438.55,11.0,2026.09.01 09:30:00
192,before_spike,2026-09-01 06:45:00+00:00,4438.51,4443.25,4436.77,4436.77,11.0,2026.09.01 09:45:00
192,spike,2026-09-01 07:00:00+00:00,4436.7,4437.67,4430.19,4431.13,11.0,2026.09.01 10:00:00
192,after_spike,2026-09-01 07:15:00+00:00,4431.12,4433.67,4429.62,4429.69,11.0,2026.09.01 10:15:00
192,signal,2026-09-01 07:30:00+00:00,4429.67,4430.51,4426.75,4427.78,11.0,2026.09.01 10:30:00
193,context,2026-09-01 08:30:00+00:00,4426.83,4443.57,4424.16,4442.82,17.0,2026.09.01 11:30:00
193,before_spike,2026-09-01 08:45:00+00:00,4442.74,4446.02,4440.09,4440.13,12.0,2026.09.01 11:45:00
