time,open,high,low,close,tick_volume,spread,real_volume
2026-07-16 02:00:00+00:00,4059.59,4062.07,4058.9,4060.34,1217,8,0
2026-07-16 02:15:00+00:00,4060.33,4060.44,4057.05,4057.76,1312,10,0
2026-07-16 02:30:00+00:00,4057.84,4059.29,4055.64,4057.77,1229,10,0
2026-07-16 02:45:00+00:00,4057.78,4060.81,4056.26,4057.8,1824,10,0
2026-07-16 03:00:00+00:00,4057.77,4059.49,4054.88,4056.38,1780,8,0
2026-07-16 03:15:00+00:00,4056.33,4060.4,4055.04,4058.41,1857,8,0
2026-07-16 03:30:00+00:00,4058.46,4061.19,4054.09,4055.08,1667,8,0
2026-07-16 03:45:00+00:00,4054.95,4060.99,4043.8,4044.71,2486,8,0
2026-07-16 04:00:00+00:00,4044.72,4050.49,4041.11,4045.23,3315,8,0
2026-07-16 04:15:00+00:00,4045.16,4045.37,4033.9,4037.06,2923,8,0
2026-07-16 04:30:00+00:00,4036.87,4045.99,4036.65,4041.85,2509,8,0
2026-07-16 04:45:00+00:00,4042.21,4043.98,4037.22,4039.07,2522,8,0
2026-07-16 05:00:00+00:00,4039.14,4040.08,4031.29,4032.61,2294,8,0
2026-07-16 05:15:00+00:00,4032.6,4035.04,4028.88,4034.66,1948,8,0
2026-07-16 05:30:00+00:00,4034.65,4035.8,4024.53,4027.72,2550,8,0
2026-07-16 05:45:00+00:00,4027.76,4032.62,4024.75,4031.54,2232,8,0
2026-07-16 06:00:00+00:00,4031.51,4033.12,4029.27,4029.88,2032,8,0
2026-07-16 06:15:00+00:00,4029.89,4034.05,4027.81,4033.92,1766,8,0
2026-07-16 06:30:00+00:00,4034.03,4036.32,4032.38,4035.57,1274,8,0
2026-07-16 06:45:00+00:00,4035.54,4036.95,4034.2,4036.3,968,8,0
2026-07-16 07:00:00+00:00,4036.42,4037.92,4032.01,4036.91,1134,8,0
2026-07-16 07:15:00+00:00,4036.92,4036.92,4031.97,4034.02,864,8,0
2026-07-16 07:30:00+00:00,4034.22,4035.43,4032.04,4032.66,718,8,0
2026-07-16 07:45:00+00:00,4032.56,4035.34,4032.37,4033.25,817,8,0
2026-07-16 08:00:00+00:00,4033.16,4034.0,4029.42,4030.81,1043,8,0
2026-07-16 08:15:00+00:00,4030.89,4033.03,4026.75,4027.72,1272,8,0
2026-07-16 08:30:00+00:00,4027.75,4033.13,4025.29,4032.43,2840,8,0
2026-07-16 08:45:00+00:00,4032.48,4032.92,4025.51,4027.37,2344,8,0
2026-07-16 09:00:00+00:00,4027.32,4036.6,4027.06,4032.11,2908,8,0
2026-07-16 09:15:00+00:00,4032.13,4032.9,4027.93,4030.39,2038,8,0
2026-07-16 09:30:00+00:00,4030.43,4030.74,4023.02,4027.0,2552,8,0
